City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
57,cape town,-33.9258,18.4232,70.21,77,0,17.27,ZA,1671302038
58,kropotkin,45.4375,40.5756,47.39,70,13,7.05,RU,1671302039
59,east london,-33.0153,27.9116,70.74,88,75,5.75,ZA,1671302040
60,avarua,-21.2078,-159.775,78.85,89,75,13.8,CK,1671302042
61,luderitz,-26.6481,15.1594,68.85,83,0,20.67,NA,1671302044
62,narrabri,-30.3167,149.7833,55.53,74,76,3.0,AU,1671302045
63,kavieng,-2.5744,150.7967,81.61,72,100,5.3,PG,1671302047
64,victoria,22.2855,114.1577,54.32,36,100,3.0,HK,1671301984
65,hasaki,35.7333,140.8333,42.22,82,100,10.04,JP,1671302051
66,byron bay,-28.65,153.6167,61.95,80,62,13.53,AU,1671302052
67,gazanjyk,39.2446,55.5154,45.75,57,95,8.41,TM,1671302054
68,lompoc,34.6391,-120.4579,58.84,60,0,8.05,US,1671302056
69,port elizabeth,-33.918,25.5701,70.11,89,75,4.61,ZA,1671302040
70,manhattan beach,33.8847,-118.4109,64.02,32,40,9.22,US,1671301844
71,puerto ayora,-0.7393,-90.3518,78.76,93,96,4.0,EC,1671301880
72,brae,60.3964,-1.353,40.73,78,90,22.21,GB,1671302062
73,hermanus,-34.4187,19.2345,68.81,80,60,14.27,ZA,1671302063
74,tuktoyaktuk,69.4541,-133.0374,-16.6,76,20,11.5,CA,1671302065
75,kapaa,22.0752,-159.319,70.12,91,0,8.05,US,1671301784
76,comodoro rivadavia,-45.8667,-67.5,78.66,24,0,17.27,AR,1671302067
77,souillac,-20.5167,57.5167,77.38,73,40,11.5,MU,1671302069
78,cabedelo,-6.9811,-34.8339,86.67,60,6,11.25,BR,1671302070
79,moerai,-22.4333,-151.3333,75.78,80,100,13.87,PF,1671302071
80,alice springs,-23.7,133.8833,67.55,37,4,4.61,AU,1671302073
81,eidfjord,60.4675,7.0719,25.81,93,100,6.91,NO,1671302074
82,te anau,-45.4167,167.7167,51.94,96,100,3.29,NZ,1671302075
83,thompson,55.7435,-97.8558,-9.24,70,75,5.75,CA,1671302070
84,salisbury,51.0693,-1.7957,36.01,83,100,10.36,GB,1671302078
85,yaan,7.3833,8.5667,79.61,20,100,3.6,NG,1671302079
86,kodiak,57.79,-152.4072,29.71,93,75,4.61,US,1671302081
87,new norfolk,-42.7826,147.0587,48.7,72,41,1.9,AU,1671302082
88,hamilton,39.1834,-84.5333,35.04,67,100,12.66,US,1671301809
89,tura,25.5198,90.2201,60.57,89,0,2.8,IN,1671302084
90,esso,55.9333,158.7,22.5,96,100,1.52,RU,1671302086
91,bollnas,61.3482,16.3946,30.97,96,100,4.59,SE,1671302087
92,arlit,18.7369,7.3853,76.77,12,0,7.7,NE,1671302089
93,ugoofaaru,5.6667,73.0,81.01,74,100,10.13,MV,1671302090
94,kasongo,-4.45,26.6667,69.12,95,11,2.01,CD,1671302091
95,barrow,71.2906,-156.7887,-5.78,77,75,14.97,US,1671302093
96,patacamaya,-17.2333,-67.9167,61.36,42,96,13.65,BO,1671302094
97,kroya,-7.6331,109.2461,77.85,84,16,3.31,ID,1671302095
98,lodwar,3.1191,35.5973,86.47,36,12,12.39,KE,1671302097
99,bay city,43.5945,-83.8889,30.65,79,100,14.97,US,1671302098
100,rio gallegos,-51.6226,-69.2181,66.25,19,75,19.57,AR,1671301885
101,sitka,57.0531,-135.33,26.49,36,0,3.44,US,1671302101
