City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,sobolevo,54.4299,31.8996,25.12,96,100,12.55,RU,1671240649
345,novo aripuana,-5.1206,-60.3797,74.55,95,100,1.77,BR,1671240650
346,elizabeth city,36.2946,-76.2511,50.02,79,0,8.05,US,1671240443
347,kenora,49.8167,-94.4337,23.97,93,100,8.05,CA,1671240646
348,tuatapere,-46.1333,167.6833,63.64,73,88,5.77,NZ,1671240654
349,moron,-34.6534,-58.6198,66.97,59,47,9.82,AR,1671240655
350,koungou,-12.7336,45.2042,78.51,89,20,4.61,YT,1671240656
351,sorada,19.75,84.4333,68.11,78,11,1.63,IN,1671240658
352,kurayoshi,35.4333,133.8167,40.91,64,100,8.19,JP,1671240659
353,barreiras,-12.1528,-44.99,70.74,92,100,1.95,BR,1671240428
354,jaguey grande,22.5269,-81.1286,72.01,89,6,3.04,CU,1671240662
355,hualmay,-11.0964,-77.6139,69.76,82,100,8.79,PE,1671240663
356,santa cruz del norte,23.1539,-81.9236,75.67,78,25,6.76,CU,1671240664
357,geraldton,-28.7667,114.6,86.41,28,0,13.8,AU,1671240444
358,trinidad,-14.8333,-64.9,72.43,97,100,2.55,BO,1671240667
359,natchez,31.5604,-91.4032,53.04,48,100,8.05,US,1671240668
360,juneau,58.3019,-134.4197,30.2,100,20,17.27,US,1671240670
361,savannah bight,16.45,-85.85,81.14,79,51,18.39,HN,1671240671
362,margate,51.3813,1.3862,38.23,68,6,7.9,GB,1671240672
363,muros,42.7762,-9.0603,46.83,92,100,6.35,ES,1671240674
364,hovd,48.0056,91.6419,-4.41,77,1,1.66,MN,1671240675
